,model_name,embedding_size,seq_len,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1
0,SimpleRNN,15,15,0.3293130366900859,0.3351529663670594,0.3293130366900859,0.28496463734204036,0.2983744846215819,0.2847185063637656,0.2983744846215819,0.2542778236373938
0,LSTM,15,15,0.3973360655737705,0.409222629962768,0.3973360655737705,0.3568421882727891,0.3633950997583053,0.36222717461687565,0.3633950997583053,0.32596682857167203
0,baseline,75,15,0.849580405932865,0.8500614079342428,0.849580405932865,0.8491310456166062,0.36059902374295055,0.3707504359075661,0.36059902374295055,0.35979450946272895
0,DeepFC,75,15,0.6493462138953943,0.6461033103417755,0.6493462138953943,0.640888686838653,0.37917634235344294,0.3769673093841038,0.37917634235344294,0.37437234579236306
0,SimpleRNN,75,15,0.5172228727556596,0.5101385111763588,0.5172228727556596,0.5074379327324078,0.36145206388322826,0.3537321085636326,0.36145206388322826,0.35411777893393026
0,LSTM,75,15,0.5342408274785324,0.5363609971991882,0.5342408274785324,0.5256262997727328,0.42182834936732855,0.4198810607222244,0.42182834936732855,0.4148516642711851
0,baseline,150,15,0.8490925058548009,0.8528908767585848,0.8490925058548009,0.8484830237148566,0.36548030899009526,0.3713895677761033,0.36548030899009526,0.3630615007073354
0,DeepFC,150,15,0.6955308352849336,0.6972277668980236,0.6955308352849336,0.6885516686100818,0.37533766172219324,0.3756396462355648,0.37533766172219324,0.3727001096695713
0,SimpleRNN,150,15,0.45752341920374706,0.47392890156756823,0.45752341920374706,0.44928770486186337,0.38287284962797974,0.3913834546497088,0.38287284962797974,0.3729364002940853
0,LSTM,150,15,0.6893442622950819,0.6891094634050221,0.6893442622950819,0.6882367504812629,0.4292213639164021,0.43220667821228786,0.4292213639164021,0.429349032940526
0,baseline,15,35,0.6881147540983606,0.6923007684214407,0.6881147540983606,0.6830599110413592,0.3487038528979669,0.34707960094642815,0.3487038528979669,0.34684275345113075
0,DeepFC,15,35,0.45599141295862605,0.5491298727340524,0.45599141295862605,0.421518408789558,0.3330173925406379,0.36840086889046325,0.3330173925406379,0.30146447389946157
0,SimpleRNN,15,35,0.31445160031225605,0.31064362581151683,0.31445160031225605,0.28413570966060714,0.2943936306336193,0.29111237142641894,0.2943936306336193,0.2654224237987893
0,LSTM,15,35,0.3801229508196721,0.3729071387638356,0.3801229508196721,0.3316248904823789,0.3639637931851571,0.35636099875049015,0.3639637931851571,0.3168080300903098
0,baseline,75,35,0.8552010148321624,0.8578658013228823,0.8552010148321624,0.8549083680113615,0.37116724325861333,0.3805642023672287,0.37116724325861333,0.3723042371731897
0,DeepFC,75,35,0.7002732240437158,0.7004798280215666,0.7002732240437158,0.6948470162333822,0.377091133121653,0.3779130210438571,0.377091133121653,0.3758198833234951
0,SimpleRNN,75,35,0.28005464480874315,0.5136118457957897,0.28005464480874315,0.1324820383127422,0.26254679872991804,0.22575495939826787,0.26254679872991804,0.11642586102178899
0,LSTM,75,35,0.5460870413739266,0.5767037911722152,0.5460870413739266,0.5341260400123177,0.44694564238661677,0.46188087452300575,0.44694564238661677,0.43682847890465526
0,baseline,150,35,0.8476190476190476,0.8509595648587692,0.8476190476190476,0.8470185754977521,0.36325292640159235,0.36859725700093376,0.36325292640159235,0.3626594071459585
0,DeepFC,150,35,0.579352068696331,0.5816118353676643,0.579352068696331,0.5711260572552296,0.37803895549973937,0.3769318337721964,0.37803895549973937,0.37170563975615944
0,SimpleRNN,150,35,0.2753415300546448,0.647874502833667,0.2753415300546448,0.12021636918179038,0.2628311454433439,0.15327983491443978,0.2628311454433439,0.11065589943261868
0,LSTM,150,35,0.5999902419984388,0.6211771373485419,0.5999902419984388,0.5939968950538996,0.4421591393772807,0.45445728093177884,0.4421591393772807,0.43969846175000316
0,baseline,15,50,0.6841725214676034,0.6905441834082182,0.6841725214676034,0.6797954006576783,0.34107388275437184,0.33940606538597656,0.34107388275437184,0.33563942589327517
0,DeepFC,15,50,0.5240339578454333,0.6126343562744483,0.5240339578454333,0.4901451822453837,0.3418321406568409,0.3500480152167061,0.3418321406568409,0.31070732691580333
0,SimpleRNN,15,50,0.32245316159250587,0.33485125590372755,0.32245316159250587,0.2420862095369292,0.31320790483863326,0.4369568665528506,0.31320790483863326,0.23084632107292655
0,LSTM,15,50,0.3695257611241218,0.3648325570425522,0.3695257611241218,0.3267687445889049,0.3658594379413298,0.3568536271229578,0.3658594379413298,0.32409779178444503
0,baseline,75,50,0.8472872755659641,0.8505249163478917,0.8472872755659641,0.8468136639659894,0.3708828965451874,0.377916106027465,0.3708828965451874,0.3709456986669327
0,DeepFC,75,50,0.6941451990632318,0.7033185851934317,0.6941451990632318,0.682641760183462,0.3759063551490451,0.36967757456141764,0.3759063551490451,0.36800080561903326
0,SimpleRNN,75,50,0.27536104605776734,0.4953059143491418,0.27536104605776734,0.12031935415721301,0.26382635894033457,0.3380407632245242,0.26382635894033457,0.11156861163277648
0,LSTM,75,50,0.5541959406713505,0.5521309820050511,0.5541959406713505,0.5418464260460144,0.40566797782095637,0.40655604437690035,0.40566797782095637,0.39865829559462745
0,baseline,150,50,0.8434426229508196,0.8449979038825398,0.8434426229508196,0.8428592850880158,0.36292118856926214,0.36980998329902265,0.36292118856926214,0.3627186304768201
0,DeepFC,150,50,0.5894711163153786,0.5944936148428835,0.5894711163153786,0.5806135377242702,0.37638026633808824,0.37666575724069623,0.37638026633808824,0.3721837818397165
0,SimpleRNN,150,50,0.27361436377829823,0.15031259207612538,0.27361436377829823,0.17760512328347988,0.27084024453817357,0.1454551239622787,0.27084024453817357,0.174613259027076
0,LSTM,150,50,0.2754000780640125,0.6900793913352385,0.2754000780640125,0.12006009391536289,0.26382635894033457,0.12553750372883413,0.26382635894033457,0.11144679013493436
