,model_name,embedding_size,seq_len,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1
0,baseline,15,15,0.4417835718671768,0.4522379821617338,0.4417835718671768,0.4384119828156068,0.1953229398663697,0.18991951141486918,0.1953229398663697,0.190079445566077
0,DeepFC,15,15,0.23499126163147702,0.1620040371730524,0.23499126163147702,0.17740147305751672,0.19955456570155902,0.13404796471772473,0.19955456570155902,0.15045103880958022
0,SimpleRNN,15,15,0.22771716026640215,0.22786386849683232,0.22771716026640215,0.19810566087572132,0.2,0.18358274686690892,0.2,0.17234526052222912
0,LSTM,15,15,0.2503896840017004,0.253389275237524,0.2503896840017004,0.21954647030807914,0.2247216035634744,0.20247566676744888,0.2247216035634744,0.19298777908803016
0,baseline,75,15,0.7890510604128289,0.7993706300929363,0.7890510604128289,0.7904120560470433,0.2314031180400891,0.2286605982658872,0.2314031180400891,0.22713624925485817
0,DeepFC,75,15,0.3273817958528175,0.30208774123039805,0.3273817958528175,0.27598812547579776,0.1979955456570156,0.17667113228183842,0.1979955456570156,0.1596655393796895
0,SimpleRNN,75,15,0.3203438666099854,0.3258870873808622,0.3203438666099854,0.3155034979170874,0.19688195991091315,0.19108608082449383,0.19688195991091315,0.19000961718803666
0,LSTM,75,15,0.3834018232487837,0.3979203383688702,0.3834018232487837,0.3750692726747099,0.25501113585746105,0.24857000449420535,0.25501113585746105,0.24496665162052414
0,baseline,150,15,0.7887676538661377,0.7986513284703903,0.7887676538661377,0.7900730576969691,0.23028953229398663,0.22783258971750364,0.23028953229398663,0.22586678399688015
0,DeepFC,150,15,0.3385763544471211,0.24247523970498436,0.3385763544471211,0.2751676066802535,0.20579064587973275,0.14476561507213603,0.20579064587973275,0.1639360515045728
0,SimpleRNN,150,15,0.3244060271125596,0.358612464448539,0.3244060271125596,0.30699778101994324,0.20044543429844097,0.18750232894300198,0.20044543429844097,0.1775391788445934
0,LSTM,150,15,0.46667611355155636,0.4951506782757142,0.46667611355155636,0.4625109871548959,0.24543429844097994,0.24202568029839283,0.24543429844097994,0.23508078008666117
0,baseline,15,35,0.5968069529072788,0.6171049407450669,0.5968069529072788,0.5967011755981803,0.21002227171492205,0.20465816605579998,0.21002227171492205,0.20404835302084862
