model,accuracy,precision,recall,F1
FCN,0.5222,0.6173,0.3596,0.4545
Simple RNN,0.5029,0.6070,0.3325,0.4297
LSTM,0.5091,0.6326,0.3183,0.4236
Bi. LSTM,0.5213,0.6099,0.3817,0.4696
GRU,0.5119,0.6253,0.3200,0.4233
Binary,0.5291,0.6369,0.3331,0.4374
TF-IDF,0.5136,0.6143,0.3315,0.4306
