name,model,accuracy,precision,recall,F1
simpsons_BI_LSTM150_DENSE75,1,0.5580,0.6957,0.3469,0.4629
simpsons_BI_LSTM300_DENSE75,2,0.5636,0.7009,0.3572,0.4732
simpsons_BI_LSTM150_DENSE150_DENSE75_DENSE25,3,0.5647,0.7009,0.3466,0.4639
simpsons_BI_LSTM150_BI_LSTM150_DENSE150_DENSE75_DENSE25,4,0.5394,0.6818,0.3026,0.4192
simpsons_BI_LSTM300_BI_LSTM150_DENSE150_DENSE75_DENSE25,5,0.5852,0.7226,0.3722,0.4913
