name,model,accuracy,precision,recall,F1
friends_5,1,0.3488,0.6595,0.0227,0.0440
friends_10,2,0.3894,0.7123,0.0371,0.0706
friends_15,3,0.3959,0.7361,0.0553,0.1029
friends_20,4,0.4003,0.7455,0.0642,0.1182
friends_25,5,0.4113,0.7629,0.0756,0.1376
friends_50,6,0.3981,0.7631,0.0622,0.1150
friends_100,7,0.4005,0.7732,0.0753,0.1373
