name,model,accuracy,precision,recall,F1
simpsons_BI_LSTM25_DENSE15,1,0.5730,0.7147,0.3486,0.4686
simpsons_BI_LSTM50_DENSE27,2,0.5720,0.7057,0.3594,0.4762
simpsons_BI_LSTM75_DENSE40,3,0.5760,0.7112,0.3708,0.4875
simpsons_BI_LSTM150_DENSE77,4,0.5577,0.6947,0.3436,0.4598
simpsons_BI_LSTM300_DENSE152,5,0.5651,0.6941,0.3611,0.4751
