name,model,accuracy,precision,recall,F1
simpsons_5,1,0.5459,0.7189,0.2990,0.4224
simpsons_10,2,0.5638,0.7272,0.3290,0.4530
simpsons_15,3,0.5588,0.7165,0.3213,0.4437
simpsons_20,4,0.5752,0.7282,0.3449,0.4681
simpsons_25,5,0.5625,0.7128,0.3255,0.4470
simpsons_50,6,0.5683,0.7208,0.3417,0.4636
simpsons_100,7,0.5747,0.7233,0.3494,0.4712
simpsons_150,8,0.5766,0.7219,0.3576,0.4783
