name,model,accuracy,precision,recall,F1
simpsons_5,1,0.5492,0.6901,0.3146,0.4322
simpsons_10,2,0.5629,0.7073,0.3356,0.4552
simpsons_15,3,0.5779,0.7236,0.3603,0.4811
simpsons_20,4,0.5866,0.7310,0.3728,0.4938
simpsons_25,5,0.5738,0.7228,0.3505,0.4721
simpsons_50,6,0.5799,0.7332,0.3570,0.4802
simpsons_100,7,0.5768,0.7261,0.3535,0.4755
