name,model,accuracy,precision,recall,F1
simpsons_1000,1,0.5235,0.6722,0.2835,0.3988
simpsons_2500,2,0.5444,0.6880,0.3167,0.4337
simpsons_5000,3,0.5698,0.7069,0.3599,0.4770
simpsons_10000,4,0.5833,0.7243,0.3703,0.4901
simpsons_15000,5,0.5886,0.7278,0.3770,0.4967
