name,model,accuracy,precision,recall,F1
friends_RNN150_DENSE75,1,0.3278,0.6224,0.0256,0.0492
friends_RNN300_DENSE75,2,0.3355,0.6117,0.0353,0.0668
friends_RNN150_DENSE150_DENSE75_DENSE25,3,0.2607,0.5244,0.0099,0.0194
friends_RNN150_RNN150_DENSE150_DENSE75_DENSE25,4,0.2720,0.5546,0.0156,0.0304
friends_RNN300_RNN150_DENSE150_DENSE75_DENSE25,5,0.3206,0.5457,0.0416,0.0773
