name,model,accuracy,precision,recall,F1
simpsons_RNN150_DENSE75,1,0.5792,0.7015,0.3956,0.5059
simpsons_RNN300_DENSE75,2,0.5755,0.6968,0.3906,0.5006
simpsons_RNN150_DENSE150_DENSE75_DENSE25,3,0.5230,0.6667,0.2834,0.3977
simpsons_RNN150_RNN150_DENSE150_DENSE75_DENSE25,4,0.5427,0.6762,0.3359,0.4488
simpsons_RNN300_RNN150_DENSE150_DENSE75_DENSE25,5,0.5316,0.6668,0.3156,0.4284
