name,model,accuracy,precision,recall,F1
friends_5,1,0.2958,0.5994,0.0124,0.0243
friends_10,2,0.3487,0.7085,0.0273,0.0525
friends_15,3,0.3481,0.6956,0.0232,0.0449
friends_20,4,0.3692,0.7274,0.0368,0.0701
friends_25,5,0.3984,0.7437,0.0555,0.1033
friends_50,6,0.3730,0.7336,0.0348,0.0664
friends_100,7,0.4030,0.7444,0.0610,0.1127
friends_150,8,0.4043,0.7495,0.0680,0.1246
