name,model,accuracy,precision,recall,F1
friends_LSTM150_DENSE75,1,0.3517,0.6667,0.0709,0.1282
friends_LSTM300_DENSE75,2,0.3774,0.6755,0.0952,0.1668
friends_LSTM150_DENSE150_DENSE75_DENSE25,3,0.3181,0.5935,0.0444,0.0826
friends_LSTM150_LSTM150_DENSE150_DENSE75_DENSE25,4,0.3090,0.5821,0.0332,0.0629
friends_LSTM300_LSTM150_DENSE150_DENSE75_DENSE25,5,0.3712,0.6497,0.0928,0.1624
