name,model,accuracy,precision,recall,F1
friends_BI_LSTM25_DENSE15,1,0.3383,0.6567,0.0357,0.0678
friends_BI_LSTM50_DENSE27,2,0.3387,0.6289,0.0473,0.0880
friends_BI_LSTM75_DENSE40,3,0.3745,0.6686,0.0787,0.1408
friends_BI_LSTM150_DENSE77,4,0.3685,0.6666,0.0759,0.1363
friends_BI_LSTM300_DENSE152,5,0.3838,0.6589,0.0992,0.1725
