name,model,accuracy,precision,recall,F1
friends_BI_LSTM150_DENSE75,1,0.3596,0.6471,0.0631,0.1151
friends_BI_LSTM300_DENSE75,2,0.3767,0.6521,0.0847,0.1499
friends_BI_LSTM150_DENSE150_DENSE75_DENSE25,3,0.3459,0.6114,0.0580,0.1060
friends_BI_LSTM150_BI_LSTM150_DENSE150_DENSE75_DENSE25,4,0.3427,0.6151,0.0641,0.1160
friends_BI_LSTM300_BI_LSTM150_DENSE150_DENSE75_DENSE25,5,0.3351,0.6023,0.0542,0.0995
