name,model,accuracy,precision,recall,F1
friends_GRU150_DENSE75,1,0.2940,0.6484,0.0236,0.0455
friends_GRU300_DENSE75,2,0.3358,0.6890,0.0648,0.1185
friends_GRU150_DENSE150_DENSE75_DENSE25,3,0.2872,0.5857,0.0269,0.0514
friends_GRU150_GRU150_DENSE150_DENSE75_DENSE25,4,0.1797,0.0000,0.0000
friends_GRU300_GRU150_DENSE150_DENSE75_DENSE25,5,0.2708,0.5432,0.0182,0.0352
