name,model,accuracy,precision,recall,F1
simpsons_GRU150_DENSE75,1,0.5670,0.7048,0.3690,0.4844
simpsons_GRU300_DENSE75,2,0.5759,0.7082,0.3871,0.5006
simpsons_GRU150_DENSE150_DENSE75_DENSE25,3,0.5635,0.7038,0.3515,0.4689
simpsons_GRU150_GRU150_DENSE150_DENSE75_DENSE25,4,0.5653,0.7025,0.3592,0.4753
simpsons_GRU300_GRU150_DENSE150_DENSE75_DENSE25,5,0.5447,0.6925,0.3149,0.4330
