name,model,accuracy,precision,recall,F1
simpsons_LSTM150_DENSE75,1,0.5678,0.7034,0.3746,0.4888
simpsons_LSTM300_DENSE75,2,0.5517,0.6928,0.3373,0.4537
simpsons_LSTM150_DENSE150_DENSE75_DENSE25,3,0.5494,0.6949,0.3240,0.4420
simpsons_LSTM150_LSTM150_DENSE150_DENSE75_DENSE25,4,0.5321,0.6791,0.2848,0.4013
simpsons_LSTM300_LSTM150_DENSE150_DENSE75_DENSE25,5,0.5547,0.6986,0.3291,0.4474
